"Denumire","Pret","Stoc","Valabilitate"
"Albinita","30","34","25-3-2020"
"Negresa","15","100","30-4-2020"
"Tort caramel","80","3","4-4-2020"
"Tort fructe","75","7","4-4-2020"
"Cremes","6","54","4-4-2020"
"Ecler","6","50","4-4-2020"
"Tiramisu","9","26","9-4-2020"
"Macarons","12","70","9-4-2020"
"Fursecuri","8","200","9-4-2020"
"Croissant ciocolata","4","70","25-4-2020"
"Tort frisca","60","5","4-4-2020"
"Cheesecake cu fructe de padure","18","40","4-4-2020"
"Tarta cu mere","5","32","4-4-2020"
"Lamaita","8","46","24-4-2020"
